bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100094003,110010094003,G11000100094003,110010094003,1,1,1,1,1,1,1,1
G11000100094004,110010094004,G11000100094003,110010094003,0.002073803,0,0,0,0,0,0,0
G11000100094004,110010094004,G11000100094004,110010094004,0.997926197,1,1,1,1,1,1,1
G11000100095011,110010095011,G11000100095084,110010095084,0.055343307,0,0,0,0,0,0,0
G11000100095011,110010095011,G11000100095101,110010095101,0.944656693,1,1,1,1,1,1,1
G11000100095012,110010095012,G11000100095102,110010095102,1,1,1,1,1,1,1,1
G11000100095013,110010095013,G11000100095041,110010095041,0.001982376,0,0,0,0,0,0,0
G11000100095013,110010095013,G11000100095103,110010095103,0.187012044,0.323825503,0.287584011,1,0.998043053,0.998254799,1,0.997474748
G11000100095013,110010095013,G11000100095111,110010095111,0.811005581,0.676174497,0.712415989,0,0.001956947,0.001745201,0,0.002525253
G11000100095031,110010095031,G11000100095031,110010095031,1,1,1,1,1,1,1,1
G11000100095032,110010095032,G11000100095032,110010095032,1,1,1,1,1,1,1,1
G11000100095033,110010095033,G11000100095033,110010095033,1,1,1,1,1,1,1,1
G11000100095041,110010095041,G11000100095041,110010095041,1,1,1,1,1,1,1,1
G11000100095042,110010095042,G11000100095042,110010095042,1,1,1,1,1,1,1,1
G11000100095051,110010095051,G11000100095051,110010095051,1,1,1,1,1,1,1,1
G11000100095052,110010095052,G11000100095052,110010095052,1,1,1,1,1,1,1,1
G11000100095053,110010095053,G11000100095053,110010095053,1,1,1,1,1,1,1,1
G11000100095071,110010095071,G11000100095071,110010095071,1,1,1,1,1,1,1,1
G11000100095081,110010095081,G11000100095053,110010095053,0.00217333,0,0,0,0,0,0,0
G11000100095081,110010095081,G11000100095082,110010095082,0.002499329,0.047168858,0.050596833,0.059348518,0.05600478,0.056992661,0,0.058275244
G11000100095081,110010095081,G11000100095083,110010095083,0.246885818,0.488210825,0.505007761,0.432980058,0.504719772,0.498830782,0.041666667,0.523492195
G11000100095081,110010095081,G11000100095084,110010095084,0.747348205,0.464620318,0.444395406,0.507671424,0.439275449,0.444176558,0.958333333,0.418232561
G11000100095081,110010095081,G11000100095101,110010095101,0.001093318,0,0,0,0,0,0,0
G11000100095082,110010095082,G11000100095081,110010095081,1,1,1,1,1,1,1,1
G11000100095083,110010095083,G11000100095082,110010095082,1,1,1,1,1,1,1,1
G11000100095091,110010095091,G11000100095091,110010095091,1,1,1,1,1,1,1,1
G11000100095092,110010095092,G11000100095092,110010095092,1,1,1,1,1,1,1,1
G11000100095093,110010095093,G11000100095093,110010095093,1,1,1,1,1,1,1,1
G11000100096011,110010096011,G11000100096011,110010096011,1,1,1,1,1,1,1,1
G11000100096011,110010096011,G11000100096021,110010096021,0,0,0,0,0,0,0,0
G11000100096021,110010096021,G11000100096011,110010096011,0,0,0,0,0,0,0,0
G11000100096021,110010096021,G11000100096022,110010096022,0.280902677,0.821590909,0.80603097,0.839248434,0.832223702,0.829151732,0.012987013,0.925816024
G11000100096021,110010096021,G11000100096023,110010096023,0.719097323,0.178409091,0.19396903,0.160751566,0.167776298,0.170848268,0.987012987,0.074183976
G11000100096022,110010096022,G11000100096011,110010096011,0,0,0,0,0,0,0,0
G11000100096022,110010096022,G11000100096021,110010096021,0.832696199,0,0,0,0,0,0,0
G11000100096022,110010096022,G11000100096022,110010096022,0.145861547,1,1,1,1,1,1,1
G11000100096022,110010096022,G11000100096023,110010096023,0.021442254,0,0,0,0,0,0,0
G11000100096031,110010096031,G11000100096031,110010096031,1,1,1,1,1,1,1,1
G11000100096032,110010096032,G11000100096032,110010096032,1,1,1,1,1,1,1,1
G11000100096033,110010096033,G11000100096033,110010096033,1,1,1,1,1,1,1,1
G11000100096041,110010096041,G11000100096041,110010096041,1,1,1,1,1,1,1,1
G11000100096042,110010096042,G11000100096023,110010096023,0.013337714,0,0,0,0,0,0,0
G11000100096042,110010096042,G11000100096042,110010096042,0.986662286,1,1,1,1,1,1,1
G11000100097001,110010097001,G11000100073044,110010073044,0,0,0,0,0,0,0,0
G11000100097001,110010097001,G11000100097002,110010097002,0.513650007,0.620074658,0.635182999,0.617996604,0.586474501,0.620178042,0.68452381,0.528268551
G11000100097001,110010097001,G11000100097003,110010097003,0.486349993,0.379925342,0.364817001,0.382003396,0.413525499,0.379821959,0.315476191,0.471731449
G11000100097002,110010097002,G11000100097001,110010097001,1,1,1,1,1,1,1,1
G11000100098011,110010098011,G11000100098011,110010098011,1,1,1,1,1,1,1,1
G11000100098011,110010098011,G11000100098032,110010098032,0,0,0,0,0,0,0,0
G11000100098011,110010098011,G11000100098041,110010098041,0,0,0,0,0,0,0,0
G11000100098021,110010098021,G11000100098021,110010098021,1,1,1,1,1,1,1,1
G11000100098022,110010098022,G11000100098022,110010098022,1,1,1,1,1,1,1,1
G11000100098031,110010098031,G11000100098031,110010098031,1,1,1,1,1,1,1,1
G11000100098032,110010098032,G11000100098032,110010098032,1,1,1,1,1,1,1,1
G11000100098033,110010098033,G11000100098033,110010098033,1,1,1,1,1,1,1,1
G11000100098041,110010098041,G11000100098041,110010098041,1,1,1,1,1,1,1,1
G11000100098042,110010098042,G11000100098042,110010098042,1,1,1,1,1,1,1,1
G11000100098071,110010098071,G11000100098071,110010098071,1,1,1,1,1,1,1,1
G11000100098072,110010098072,G11000100098072,110010098072,0.257706552,0.532997058,0.52537797,0.52581262,0.544853636,0.542880259,0.306990882,0.652054795
G11000100098072,110010098072,G11000100098073,110010098073,0.742293448,0.467002942,0.47462203,0.474187381,0.455146365,0.457119741,0.693009119,0.347945206
G11000100098101,110010098101,G11000100098101,110010098101,1,1,1,1,1,1,1,1
G11000100098102,110010098102,G11000100098102,110010098102,1,1,1,1,1,1,1,1
G11000100098111,110010098111,G11000100098111,110010098111,1,1,1,1,1,1,1,1
G11000100098112,110010098112,G11000100098112,110010098112,0.517844798,0.579205712,0.568777991,0.565905097,0.576323988,0.557090239,0.308510638,0.641290323
G11000100098112,110010098112,G11000100098113,110010098113,0.482155202,0.420794288,0.431222009,0.434094903,0.423676013,0.442909761,0.691489362,0.358709677
G11000100099011,110010099011,G11000100099011,110010099011,1,1,1,1,1,1,1,1
G11000100099012,110010099012,G11000100099012,110010099012,1,1,1,1,1,1,1,1
G11000100099021,110010099021,G11000100099021,110010099021,1,1,1,1,1,1,1,1
G11000100099022,110010099022,G11000100099022,110010099022,1,1,1,1,1,1,1,1
G11000100099031,110010099031,G11000100099031,110010099031,1,1,1,1,1,1,1,1
G11000100099032,110010099032,G11000100099032,110010099032,1,1,1,1,1,1,1,1
G11000100099041,110010099041,G11000100099041,110010099041,1,1,1,1,1,1,1,1
G11000100099042,110010099042,G11000100099042,110010099042,0.541838309,0.565158677,0.608650875,0.557184751,0.651245552,0.621253406,0.393548387,0.749385749
G11000100099042,110010099042,G11000100099043,110010099043,0.458161691,0.434841323,0.391349125,0.442815249,0.348754448,0.378746594,0.606451613,0.250614251
G11000100099051,110010099051,G11000100099051,110010099051,1,1,1,1,1,1,1,1
G11000100099052,110010099052,G11000100099052,110010099052,1,1,1,1,1,1,1,1
G11000100099053,110010099053,G11000100099053,110010099053,1,1,1,1,1,1,1,1
G11000100099061,110010099061,G11000100099061,110010099061,1,1,1,1,1,1,1,1
G11000100099071,110010099071,G11000100099071,110010099071,1,1,1,1,1,1,1,1
G11000100099072,110010099072,G11000100099072,110010099072,1,1,1,1,1,1,1,1
G11000100101001,110010101001,G11000100058021,110010058021,0.002288156,0,0,0,0,0,0,0
G11000100101001,110010101001,G11000100101002,110010101002,0.369211511,0.516975309,0.515183804,0.589189189,0.525660964,0.500327439,0.507082153,0.532690247
G11000100101001,110010101001,G11000100101003,110010101003,0.628500333,0.483024691,0.484816196,0.410810811,0.474339036,0.499672561,0.492917847,0.467309754
G11000100101002,110010101002,G11000100101001,110010101001,1,1,1,1,1,1,1,1
G11000100102001,110010102001,G11000100102021,110010102021,0.325393811,0,0,0,0,0,0,0
G11000100102001,110010102001,G11000100102022,110010102022,0.369403797,0.978880676,0.977324263,1,1,1,1,1
G11000100102001,110010102001,G11000100102024,110010102024,0.305202393,0.021119324,0.022675737,0,0,0,0,0
G11000100102002,110010102002,G11000100102011,110010102011,0.068723359,0.201888163,0.209000763,0.175257732,0.22751896,0.236719478,0.013071895,0.27012987
G11000100102002,110010102002,G11000100102012,110010102012,0.073063782,0.167029775,0.163234172,0.128865979,0.175514626,0.236719478,0.320261438,0.146753247
G11000100102002,110010102002,G11000100102013,110010102013,0.052846316,0.440813362,0.442410374,0.422680412,0.458288191,0.403541473,0,0.549350649
G11000100102002,110010102002,G11000100102023,110010102023,0.184674969,0,0,0,0,0,0,0
G11000100102002,110010102002,G11000100102025,110010102025,0.448680623,0.1902687,0.185354691,0.273195876,0.138678223,0.123019571,0.666666667,0.033766234
G11000100102002,110010102002,G11000100102026,110010102026,0.168961526,0,0,0,0,0,0,0
G11000100102002,110010102002,G11000109800001,110019800001,0.003049425,0,0,0,0,0,0,0
G11000100103001,110010103001,G11000100103001,110010103001,1,1,1,1,1,1,1,1
G11000100103002,110010103002,G11000100103002,110010103002,1,1,1,1,1,1,1,1
G11000100103003,110010103003,G11000100103003,110010103003,1,1,1,1,1,1,1,1
G11000100104001,110010104001,G11000100104001,110010104001,1,1,1,1,1,1,1,1
G11000100104002,110010104002,G11000100073013,110010073013,0.044423141,0,0,0,0,0,0,0
G11000100104002,110010104002,G11000100074011,110010074011,0.006607956,0.025320618,0.020946795,0.034862385,0.023323615,0.020508614,0,0.031496063
G11000100104002,110010104002,G11000100074043,110010074043,0.003384723,0,0,0,0,0,0,0
G11000100104002,110010104002,G11000100104002,110010104002,0.074062285,0.518250576,0.483870968,0.640366973,0.655004859,0.638228056,0.72659176,0.62992126
G11000100104002,110010104002,G11000100104003,110010104003,0.871521894,0.456428806,0.495182237,0.324770642,0.321671526,0.341263331,0.27340824,0.338582677
G11000100105001,110010105001,G11000100105003,110010105003,0.333246465,0.741450053,0.710086399,0.764183506,0.682420433,0.683206894,0.69811423,0.679230339
G11000100105001,110010105001,G11000100105005,110010105005,0.666753535,0.258549947,0.289913601,0.235816494,0.317579567,0.316793106,0.30188577,0.320769661
G11000100105002,110010105002,G11000100105001,110010105001,0.231227777,0.001386001,0.001468429,0.00462963,0.001030928,0.000816994,0,0.001879699
G11000100105002,110010105002,G11000100105002,110010105002,0.161776088,0.998613999,0.998531571,0.99537037,0.998969072,0.999183007,1,0.998120301
G11000100105002,110010105002,G11000100105004,110010105004,0.606996135,0,0,0,0,0,0,0
G11000100106001,110010106001,G11000100106021,110010106021,1,1,1,1,1,1,1,1
G11000100106002,110010106002,G11000100106011,110010106011,0.129591176,0.020851064,0.018048781,0.019323672,0.011162791,0.014996054,0.011574074,0.01088647
G11000100106002,110010106002,G11000100106012,110010106012,0.087531509,0,0,0,0,0,0,0
G11000100106002,110010106002,G11000100106023,110010106023,0.110049159,0.523829787,0.551219512,0.480676329,0.589767442,0.590370955,0.375,0.734059098
G11000100106002,110010106002,G11000100106024,110010106024,0.224435731,0.448085106,0.422926829,0.497584541,0.398139535,0.393843725,0.611111111,0.255054432
G11000100106002,110010106002,G11000100106031,110010106031,0.297560387,0.007234043,0.007804878,0.002415459,0.000930233,0.000789266,0.002314815,0
G11000100106002,110010106002,G11000100106032,110010106032,0.028216842,0,0,0,0,0,0,0
G11000100106002,110010106002,G11000100106033,110010106033,0.122615196,0,0,0,0,0,0,0
G11000100106003,110010106003,G11000100106022,110010106022,1,1,1,1,1,1,1,1
G11000100107001,110010107001,G11000100107001,110010107001,1,1,1,1,1,1,1,1
G11000100107002,110010107002,G11000100107002,110010107002,1,1,1,1,1,1,1,1
G11000100108001,110010108001,G11000100108001,110010108001,1,1,1,1,1,1,1,1
G11000100108002,110010108002,G11000100108002,110010108002,0.19523533,0.007550019,0.006466337,0,0,0,0,0
G11000100108002,110010108002,G11000100108004,110010108004,0.431956962,0.006040015,0.005325219,0,0,0,0,0
G11000100108002,110010108002,G11000100108005,110010108005,0.095284002,0,0,0,0,0,0,0
G11000100108002,110010108002,G11000100108006,110010108006,0.277523707,0.986409966,0.988208444,1,1,1,1,1
G11000100108003,110010108003,G11000100108003,110010108003,1,1,1,1,1,1,1,1
G11000100109001,110010109001,G11000100109001,110010109001,1,1,1,1,1,1,1,1
G11000100109002,110010109002,G11000100109002,110010109002,1,1,1,1,1,1,1,1
G11000100110001,110010110001,G11000100110011,110010110011,1,1,1,1,1,1,1,1
G11000100110002,110010110002,G11000100110021,110010110021,1,1,1,1,1,1,1,1
G11000100110003,110010110003,G11000100110022,110010110022,1,1,1,1,1,1,1,1
G11000100110004,110010110004,G11000100110012,110010110012,0.504045509,0.416871921,0.433400947,0.36971831,0.445682451,0.4410299,0.448094612,0.439873418
G11000100110004,110010110004,G11000100110013,110010110013,0.495954491,0.583128079,0.566599053,0.63028169,0.554317549,0.5589701,0.551905388,0.560126582
G11000100111001,110010111001,G11000100111001,110010111001,1,1,1,1,1,1,1,1
G11000100111002,110010111002,G11000100111002,110010111002,1,1,1,1,1,1,1,1
G11000100111003,110010111003,G11000100111003,110010111003,1,1,1,1,1,1,1,1
